"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"10-Apr-2024","EQ","634.00","637.95","629.50","632.25","632.25","634.45","634.70","813.40","553.70","22,30,548","1,41,57,21,668.40","1,03,818"
"09-Apr-2024","EQ","634.00","645.50","629.10","633.90","632.95","632.25","636.94","813.40","553.70","17,83,075","1,13,57,08,700.20","71,453"
"08-Apr-2024","EQ","637.20","637.20","625.80","634.75","634.65","633.90","633.06","813.40","553.70","33,95,600","2,14,96,30,043.85","1,31,575"
"05-Apr-2024","EQ","624.95","637.00","614.40","620.95","634.00","634.75","630.52","813.40","553.65","45,02,631","2,83,89,77,638.25","1,51,444"
"04-Apr-2024","EQ","620.00","639.95","618.50","605.05","622.35","620.95","629.98","813.40","553.65","1,20,26,382","7,57,63,95,921.20","3,05,203"
"03-Apr-2024","EQ","590.00","607.90","576.65","591.60","607.45","605.05","590.25","813.40","553.65","1,11,24,597","6,56,62,66,182.35","2,13,924"
"02-Apr-2024","EQ","593.00","598.20","583.25","589.35","590.00","591.60","593.14","813.40","553.65","40,18,831","2,38,37,30,677.20","1,39,172"
"01-Apr-2024","EQ","570.90","591.35","567.00","565.00","588.05","589.35","583.57","813.40","553.65","42,23,594","2,46,47,60,133.90","1,35,653"
"28-Mar-2024","EQ","563.85","570.45","561.00","561.50","565.00","565.00","565.88","813.40","551.00","27,82,930","1,57,47,91,111.85","97,765"
"27-Mar-2024","EQ","564.80","566.80","557.20","563.00","561.00","561.50","561.75","813.40","551.00","49,23,826","2,76,59,64,922.05","1,40,903"
"26-Mar-2024","EQ","564.25","568.80","561.70","564.25","561.70","563.00","564.20","813.40","551.00","15,69,118","88,52,97,000.00","72,709"
"22-Mar-2024","EQ","564.00","568.90","561.25","565.95","564.25","564.25","563.88","813.40","548.00","23,14,067","1,30,48,64,708.75","1,11,001"
"21-Mar-2024","EQ","568.40","571.90","563.55","559.90","566.00","565.95","566.91","813.40","548.00","20,26,437","1,14,88,04,671.20","1,28,801"
"20-Mar-2024","EQ","562.20","568.50","553.70","560.15","560.80","559.90","559.88","813.40","548.00","50,79,488","2,84,38,89,356.95","1,29,072"
"19-Mar-2024","EQ","576.50","582.40","558.05","569.85","558.80","560.15","569.54","813.40","548.00","31,13,350","1,77,31,74,282.70","74,809"
